39.02夕霧	OH_OO渋谷源氏	3340	3360	I	かけ	掛ける	カケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	カケ	和
39.02夕霧	OH_OO渋谷源氏	3360	3370	I	て	て	テ	助詞-接続助詞			テ	和
39.02夕霧	OH_OO渋谷源氏	3370	3390	I	知り	知る	シル	動詞-一般	文語四段-ラ行	連用形-一般	シリ	和
39.02夕霧	OH_OO渋谷源氏	3390	3420	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
39.02夕霧	OH_OO渋谷源氏	3420	3440	I	ざら	ず	ズ	助動詞	文語助動詞-ズ	未然形-補助	ザラ	和
39.02夕霧	OH_OO渋谷源氏	3440	3450	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
39.02夕霧	OH_OO渋谷源氏	3450	3460	I	に	に	ニ	助詞-接続助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	3460	3470	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3470	3490	I	ただ	唯	タダ	形状詞-一般			タダ	和
39.02夕霧	OH_OO渋谷源氏	3490	3510	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
39.02夕霧	OH_OO渋谷源氏	3510	3520	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
39.02夕霧	OH_OO渋谷源氏	3520	3540	I	ふし	節	フシ	名詞-普通名詞-一般			フシ	和
39.02夕霧	OH_OO渋谷源氏	3540	3550	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.02夕霧	OH_OO渋谷源氏	3550	3560	I	て	て	テ	助詞-接続助詞			テ	和
39.02夕霧	OH_OO渋谷源氏	3560	3570	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	3570	3580	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
39.02夕霧	OH_OO渋谷源氏	3580	3600	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
39.02夕霧	OH_OO渋谷源氏	3600	3630	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
39.02夕霧	OH_OO渋谷源氏	3630	3640	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3640	3650	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
39.02夕霧	OH_OO渋谷源氏	3650	3660	I	の	の	ノ	助詞-格助詞			ノ	和
39.02夕霧	OH_OO渋谷源氏	3660	3700	I	もの言ひ	物言い	モノイイ	名詞-普通名詞-一般			モノイー	和
39.02夕霧	OH_OO渋谷源氏	3700	3740	I	隠れなき	隠れ無い	カクレナイ	形容詞-一般	文語形容詞-ク	連体形-一般	カクレナキ	和
39.02夕霧	OH_OO渋谷源氏	3740	3750	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
39.02夕霧	OH_OO渋谷源氏	3750	3770	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
39.02夕霧	OH_OO渋谷源氏	3770	3780	I	ば	ば	バ	助詞-接続助詞			バ	和
39.02夕霧	OH_OO渋谷源氏	3780	3790	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3790	3840	I	おのづから	自ずから	オノズカラ	副詞			オノズカラ	和
39.02夕霧	OH_OO渋谷源氏	3840	3860	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
39.02夕霧	OH_OO渋谷源氏	3860	3890	I	あはせ	合わせる	アワセル	動詞-一般	文語下二段-サ行	連用形-一般	アワセ	和
39.02夕霧	OH_OO渋谷源氏	3890	3900	I	て	て	テ	助詞-接続助詞			テ	和
39.02夕霧	OH_OO渋谷源氏	3900	3910	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3910	3930	I	隔て	隔てる	ヘダテル	動詞-一般	文語下二段-タ行	連用形-一般	ヘダテ	和
39.02夕霧	OH_OO渋谷源氏	3930	3950	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
39.02夕霧	OH_OO渋谷源氏	3950	3960	I	と	と	ト	助詞-格助詞			ト	和
39.02夕霧	OH_OO渋谷源氏	3960	3980	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
39.02夕霧	OH_OO渋谷源氏	3980	3990	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
39.02夕霧	OH_OO渋谷源氏	3990	4000	I	が	が	ガ	助詞-格助詞			ガ	和
39.02夕霧	OH_OO渋谷源氏	4000	4020	I	いと	いと	イト	副詞			イト	和
