49.07宿木	OH_OO渋谷源氏	2800	2810	I	」	」		補助記号-括弧閉				記号
49.07宿木	OH_OO渋谷源氏	2810	2830	B	とて	とて	トテ	助詞-格助詞			トテ	和
49.07宿木	OH_OO渋谷源氏	2830	2840	I	，	，		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	2840	2850	I	涙	涙	ナミダ	名詞-普通名詞-サ変可能			ナミダ	和
49.07宿木	OH_OO渋谷源氏	2850	2860	I	を	を	ヲ	助詞-格助詞			オ	和
49.07宿木	OH_OO渋谷源氏	2860	2870	I	一	一	ヒト	名詞-数詞			ヒト	和
49.07宿木	OH_OO渋谷源氏	2870	2880	I	目	目	メ	名詞-普通名詞-一般			メ	和
49.07宿木	OH_OO渋谷源氏	2880	2900	I	浮け	浮ける	ウケル	動詞-一般	文語下二段-カ行	連用形-一般	ウケ	和
49.07宿木	OH_OO渋谷源氏	2900	2910	I	て	て	テ	助詞-接続助詞			テ	和
49.07宿木	OH_OO渋谷源氏	2910	2950	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
49.07宿木	OH_OO渋谷源氏	2950	2960	I	に	に	ニ	助詞-格助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	2960	2970	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	2970	3000	I	老い人	老い人	オイヒト	名詞-普通名詞-一般			オイビト	和
49.07宿木	OH_OO渋谷源氏	3000	3010	I	は	は	ハ	助詞-係助詞			ワ	和
49.07宿木	OH_OO渋谷源氏	3010	3040	I	いとど	いとど	イトド	副詞			イトド	和
49.07宿木	OH_OO渋谷源氏	3040	3070	I	さらに	更に	サラニ	副詞			サラニ	和
49.07宿木	OH_OO渋谷源氏	3070	3090	I	せき	塞く	セク	動詞-一般	文語四段-カ行	連用形-一般	セキ	和
49.07宿木	OH_OO渋谷源氏	3090	3110	I	あへ	敢える	アエル	動詞-非自立可能	文語下二段-ハ行	未然形-一般	アエ	和
49.07宿木	OH_OO渋谷源氏	3110	3120	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
49.07宿木	OH_OO渋谷源氏	3120	3130	I	。	。		補助記号-句点				記号
49.07宿木	OH_OO渋谷源氏	3130	3140	B	「	「		補助記号-括弧開				記号
49.07宿木	OH_OO渋谷源氏	3140	3150	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
49.07宿木	OH_OO渋谷源氏	3150	3160	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	3160	3170	I	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
49.07宿木	OH_OO渋谷源氏	3170	3180	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
49.07宿木	OH_OO渋谷源氏	3180	3190	I	て	て	テ	助詞-接続助詞			テ	和
49.07宿木	OH_OO渋谷源氏	3190	3200	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	3200	3240	I	あいなく	あいない	アイナイ	形容詞-一般	文語形容詞-ク	連用形-一般	アイナク	和
49.07宿木	OH_OO渋谷源氏	3240	3260	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
49.07宿木	OH_OO渋谷源氏	3260	3270	I	を	を	ヲ	助詞-格助詞			オ	和
49.07宿木	OH_OO渋谷源氏	3270	3290	I	思す	思す	オボス	動詞-一般	文語四段-サ行	終止形-一般	オボス	和
49.07宿木	OH_OO渋谷源氏	3290	3310	I	めり	めり	メリ	助動詞	文語助動詞-メリ	連用形-一般	メリ	和
49.07宿木	OH_OO渋谷源氏	3310	3320	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
49.07宿木	OH_OO渋谷源氏	3320	3340	I	ころ	頃	コロ	名詞-普通名詞-副詞可能			コロ	和
49.07宿木	OH_OO渋谷源氏	3340	3350	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	3350	3360	I	空	空	ソラ	名詞-普通名詞-一般			ソラ	和
49.07宿木	OH_OO渋谷源氏	3360	3370	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
49.07宿木	OH_OO渋谷源氏	3370	3390	I	かし	かし	カシ	助詞-終助詞			カシ	和
49.07宿木	OH_OO渋谷源氏	3390	3400	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	3400	3410	I	と	と	ト	助詞-格助詞			ト	和
49.07宿木	OH_OO渋谷源氏	3410	3430	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
49.07宿木	OH_OO渋谷源氏	3430	3460	I	たまへ	給える	タマエル	動詞-非自立可能	文語下二段-ハ行	連用形-一般	タマエ	和
49.07宿木	OH_OO渋谷源氏	3460	3490	I	出づる	出でる	イデル	動詞-一般	文語下二段-ダ行	連体形-一般	イズル	和
49.07宿木	OH_OO渋谷源氏	3490	3500	I	に	に	ニ	助詞-接続助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	3500	3510	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	3510	3530	I	いつ	何時	イツ	代名詞			イツ	和
