09.03葵	OH_OO渋谷源氏	3450	3480	I	尽くし	尽くす	ツクス	動詞-非自立可能	文語四段-サ行	連用形-一般	ツクシ	和
09.03葵	OH_OO渋谷源氏	3480	3520	I	きこゆる	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連体形-一般	キコユル	和
09.03葵	OH_OO渋谷源氏	3520	3530	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
09.03葵	OH_OO渋谷源氏	3530	3540	I	に	に	ニ	助詞-格助詞			ニ	和
09.03葵	OH_OO渋谷源氏	3540	3550	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	3550	3570	I	違ふ	違う	タガウ	動詞-一般	文語四段-ハ行	連体形-一般	タガウ	和
09.03葵	OH_OO渋谷源氏	3570	3600	I	ところ	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
09.03葵	OH_OO渋谷源氏	3600	3640	I	なくなり	亡くなる	ナクナル	動詞-一般	文語四段-ラ行	連用形-一般	ナクナリ	和
09.03葵	OH_OO渋谷源氏	3640	3660	I	ゆく	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
09.03葵	OH_OO渋谷源氏	3660	3680	I	かな	哉	カナ	助詞-終助詞			カナ	和
09.03葵	OH_OO渋谷源氏	3680	3690	I	」	」		補助記号-括弧閉				記号
09.03葵	OH_OO渋谷源氏	3690	3700	B	と	と	ト	助詞-格助詞			ト	和
09.03葵	OH_OO渋谷源氏	3700	3710	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
09.03葵	OH_OO渋谷源氏	3710	3740	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
09.03葵	OH_OO渋谷源氏	3740	3750	I	に	に	ニ	助詞-接続助詞			ニ	和
09.03葵	OH_OO渋谷源氏	3750	3760	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	3760	3780	I	いと	いと	イト	副詞			イト	和
09.03葵	OH_OO渋谷源氏	3780	3810	I	うれし	嬉しい	ウレシイ	形容詞-一般	文語形容詞-シク	終止形-一般	ウレシ	和
09.03葵	OH_OO渋谷源氏	3810	3820	I	。	。		補助記号-句点				記号
09.03葵	OH_OO渋谷源氏	3820	3840	B	近く	近い	チカイ	形容詞-一般	文語形容詞-ク	連用形-一般	チカク	和
09.03葵	OH_OO渋谷源氏	3840	3860	I	寄り	寄る	ヨル	動詞-一般	文語四段-ラ行	連用形-一般	ヨリ	和
09.03葵	OH_OO渋谷源氏	3860	3890	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
09.03葵	OH_OO渋谷源氏	3890	3900	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	3900	3910	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	3910	3980	I	おぼつかなかり	覚束無い	オボツカナイ	形容詞-一般	文語形容詞-ク	連用形-補助	オボツカナカリ	和
09.03葵	OH_OO渋谷源氏	3980	4000	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
09.03葵	OH_OO渋谷源氏	4000	4020	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
09.03葵	OH_OO渋谷源氏	4020	4030	I	の	の	ノ	助詞-格助詞			ノ	和
09.03葵	OH_OO渋谷源氏	4030	4050	I	こと	事	コト	名詞-普通名詞-一般			コト	和
09.03葵	OH_OO渋谷源氏	4050	4070	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
09.03葵	OH_OO渋谷源氏	4070	4090	I	など	など	ナド	助詞-副助詞			ナド	和
09.03葵	OH_OO渋谷源氏	4090	4120	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
09.03葵	OH_OO渋谷源氏	4120	4150	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
09.03葵	OH_OO渋谷源氏	4150	4160	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	4160	4170	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	4170	4180	B	「	「		補助記号-括弧開				記号
09.03葵	OH_OO渋谷源氏	4180	4210	I	日ごろ	日頃	ヒゴロ	名詞-普通名詞-副詞可能			ヒゴロ	和
09.03葵	OH_OO渋谷源氏	4210	4220	I	の	の	ノ	助詞-格助詞			ノ	和
09.03葵	OH_OO渋谷源氏	4220	4240	I	物語	物語	モノガタリ	名詞-普通名詞-一般			モノガタリ	和
09.03葵	OH_OO渋谷源氏	4240	4250	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	4250	4280	I	のどか	長閑	ノドカ	形状詞-一般			ノドカ	和
09.03葵	OH_OO渋谷源氏	4280	4290	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
09.03葵	OH_OO渋谷源氏	4290	4320	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
09.03葵	OH_OO渋谷源氏	4320	4370	I	まほしけれ	まほし	マホシ	助動詞	文語形容詞-シク	已然形-一般	マホシケレ	和
09.03葵	OH_OO渋谷源氏	4370	4380	I	ど	ど	ド	助詞-接続助詞			ド	和
09.03葵	OH_OO渋谷源氏	4380	4390	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	4390	4450	I	忌ま忌ましう	忌ま忌ましい	イマイマシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	イマイマシュー	和
09.03葵	OH_OO渋谷源氏	4450	4480	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	連用形-一般	オボエ	和
09.03葵	OH_OO渋谷源氏	4480	4510	I	はべれ	侍る	ハベル	動詞-非自立可能	文語ラ行変格	已然形-一般	ハベレ	和
09.03葵	OH_OO渋谷源氏	4510	4520	I	ば	ば	バ	助詞-接続助詞			バ	和
09.03葵	OH_OO渋谷源氏	4520	4530	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	4530	4560	I	しばし	暫し	シバシ	副詞			シバシ	和
09.03葵	OH_OO渋谷源氏	4560	4580	I	他方	異方	コトカタ	名詞-普通名詞-一般			コトカタ	和
09.03葵	OH_OO渋谷源氏	4580	4590	I	に	に	ニ	助詞-格助詞			ニ	和
09.03葵	OH_OO渋谷源氏	4590	4630	I	やすらひ	休らう	ヤスラウ	動詞-一般	文語四段-ハ行	連用形-一般	ヤスライ	和
09.03葵	OH_OO渋谷源氏	4630	4640	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	4640	4650	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	4650	4670	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
09.03葵	OH_OO渋谷源氏	4670	4680	I	来	来る	クル	動詞-非自立可能	文語カ行変格	未然形-一般	コ	和
09.03葵	OH_OO渋谷源氏	4680	4690	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
09.03葵	OH_OO渋谷源氏	4690	4700	I	。	。		補助記号-句点				記号
09.03葵	OH_OO渋谷源氏	4700	4710	B	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
