39.05夕霧	OH_OO渋谷源氏	3780	3800	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
39.05夕霧	OH_OO渋谷源氏	3800	3810	I	。	。		補助記号-句点				記号
39.05夕霧	OH_OO渋谷源氏	3810	3820	B	「	「		補助記号-括弧開				記号
39.05夕霧	OH_OO渋谷源氏	3820	3830	I	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
39.05夕霧	OH_OO渋谷源氏	3830	3860	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
39.05夕霧	OH_OO渋谷源氏	3860	3870	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	3870	3880	I	身	身	ミ	名詞-普通名詞-一般			ミ	和
39.05夕霧	OH_OO渋谷源氏	3880	3890	I	を	を	ヲ	助詞-格助詞			オ	和
39.05夕霧	OH_OO渋谷源氏	3890	3910	I	もて	以て	モテ	接頭辞			モテ	和
39.05夕霧	OH_OO渋谷源氏	3910	3930	I	なす	成す	ナス	動詞-一般	文語四段-サ行	連体形-一般	ナス	和
39.05夕霧	OH_OO渋谷源氏	3930	3950	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
39.05夕霧	OH_OO渋谷源氏	3950	3960	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	3960	3990	I	所狭う	所狭い	トコロセイ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	トコロショー	和
39.05夕霧	OH_OO渋谷源氏	3990	4000	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	4000	4030	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
39.05夕霧	OH_OO渋谷源氏	4030	4050	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
39.05夕霧	OH_OO渋谷源氏	4050	4070	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
39.05夕霧	OH_OO渋谷源氏	4070	4090	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
39.05夕霧	OH_OO渋谷源氏	4090	4100	I	は	は	ハ	助詞-係助詞			ワ	和
39.05夕霧	OH_OO渋谷源氏	4100	4120	I	なし	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	終止形-一般	ナシ	和
39.05夕霧	OH_OO渋谷源氏	4120	4130	I	。	。		補助記号-句点				記号
39.05夕霧	OH_OO渋谷源氏	4130	4150	B	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
39.05夕霧	OH_OO渋谷源氏	4150	4160	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	4160	4190	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
39.05夕霧	OH_OO渋谷源氏	4190	4200	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	4200	4210	I	折	折	オリ	名詞-普通名詞-副詞可能			オリ	和
39.05夕霧	OH_OO渋谷源氏	4210	4250	I	をかしき	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	オカシキ	和
39.05夕霧	OH_OO渋谷源氏	4250	4270	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.05夕霧	OH_OO渋谷源氏	4270	4280	I	を	を	ヲ	助詞-格助詞			オ	和
39.05夕霧	OH_OO渋谷源氏	4280	4290	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	4290	4300	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	4300	4310	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
39.05夕霧	OH_OO渋谷源氏	4310	4330	I	知ら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
39.05夕霧	OH_OO渋谷源氏	4330	4340	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
39.05夕霧	OH_OO渋谷源氏	4340	4360	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
39.05夕霧	OH_OO渋谷源氏	4360	4370	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	4370	4390	I	引き	引く	ヒク	動詞-一般	文語四段-カ行	連用形-一般	ヒキ	和
39.05夕霧	OH_OO渋谷源氏	4390	4410	I	入り	入る	イル	動詞-一般	文語四段-ラ行	連用形-一般	イリ	和
39.05夕霧	OH_OO渋谷源氏	4410	4430	I	沈み	沈む	シズム	動詞-一般	文語四段-マ行	連用形-一般	シズミ	和
39.05夕霧	OH_OO渋谷源氏	4430	4450	I	など	など	ナド	助詞-副助詞			ナド	和
39.05夕霧	OH_OO渋谷源氏	4450	4470	I	すれ	為る	スル	動詞-非自立可能	文語サ行変格	已然形-一般	スレ	和
