05.02若紫	OH_OO渋谷源氏	2750	2770	I	から	から	カラ	助詞-格助詞			カラ	和
05.02若紫	OH_OO渋谷源氏	2770	2780	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2780	2830	I	なつかしう	懐かしい	ナツカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ナツカシュー	和
05.02若紫	OH_OO渋谷源氏	2830	2860	I	らうた	ろうたい	ロウタイ	形容詞-一般	文語形容詞-ク	語幹-一般	ロータ	和
05.02若紫	OH_OO渋谷源氏	2860	2870	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
05.02若紫	OH_OO渋谷源氏	2870	2880	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
05.02若紫	OH_OO渋谷源氏	2880	2890	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2890	2910	I	さり	然る	サル	動詞-一般	文語ラ行変格	終止形-一般	サリ	和
05.02若紫	OH_OO渋谷源氏	2910	2930	I	とて	とて	トテ	助詞-格助詞			トテ	和
05.02若紫	OH_OO渋谷源氏	2930	2950	I	うち	打ち	ウチ	接頭辞			ウチ	和
05.02若紫	OH_OO渋谷源氏	2950	2970	I	とけ	解ける	トケル	動詞-一般	文語下二段-カ行	未然形-一般	トケ	和
05.02若紫	OH_OO渋谷源氏	2970	2980	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
05.02若紫	OH_OO渋谷源氏	2980	2990	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2990	3020	I	心深う	心深い	ココロフカイ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	ココロフコー	和
05.02若紫	OH_OO渋谷源氏	3020	3060	I	恥づかし	恥ずかしい	ハズカシイ	形容詞-一般	文語形容詞-シク	語幹-一般	ハズカシ	和
05.02若紫	OH_OO渋谷源氏	3060	3070	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
05.02若紫	OH_OO渋谷源氏	3070	3090	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
05.02若紫	OH_OO渋谷源氏	3090	3100	I	御	御	オオン	接頭辞			オオン	和
05.02若紫	OH_OO渋谷源氏	3100	3140	I	もてなし	持て成し	モテナシ	名詞-普通名詞-一般			モテナシ	和
05.02若紫	OH_OO渋谷源氏	3140	3160	I	など	など	ナド	助詞-副助詞			ナド	和
05.02若紫	OH_OO渋谷源氏	3160	3170	I	の	の	ノ	助詞-格助詞			ノ	和
05.02若紫	OH_OO渋谷源氏	3170	3180	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	3180	3200	I	なほ	猶	ナオ	副詞			ナオ	和
05.02若紫	OH_OO渋谷源氏	3200	3210	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
05.02若紫	OH_OO渋谷源氏	3210	3220	I	に	に	ニ	助詞-格助詞			ニ	和
05.02若紫	OH_OO渋谷源氏	3220	3230	I	似	似る	ニル	動詞-一般	文語上一段-ナ行	未然形-一般	ニ	和
05.02若紫	OH_OO渋谷源氏	3230	3250	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
05.02若紫	OH_OO渋谷源氏	3250	3280	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
05.02若紫	OH_OO渋谷源氏	3280	3290	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
05.02若紫	OH_OO渋谷源氏	3290	3300	I	を	を	ヲ	助詞-格助詞			オ	和
05.02若紫	OH_OO渋谷源氏	3300	3310	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	3310	3320	I	「	「		補助記号-括弧開				記号
05.02若紫	OH_OO渋谷源氏	3320	3340	I	など	など	ナド	副詞			ナド	和
05.02若紫	OH_OO渋谷源氏	3340	3350	I	か	か	カ	助詞-係助詞			カ	和
05.02若紫	OH_OO渋谷源氏	3350	3360	I	，	，		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	3360	3390	I	なのめ	斜め	ナナメ	名詞-普通名詞-一般			ナノメ	和
05.02若紫	OH_OO渋谷源氏	3390	3410	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
05.02若紫	OH_OO渋谷源氏	3410	3430	I	こと	事	コト	名詞-普通名詞-一般			コト	和
05.02若紫	OH_OO渋谷源氏	3430	3450	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
05.02若紫	OH_OO渋谷源氏	3450	3470	I	うち	打ち	ウチ	接頭辞			ウチ	和
05.02若紫	OH_OO渋谷源氏	3470	3500	I	交じり	交じる	マジル	動詞-一般	文語四段-ラ行	連用形-一般	マジリ	和
05.02若紫	OH_OO渋谷源氏	3500	3530	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
05.02若紫	OH_OO渋谷源氏	3530	3550	I	ざり	ず	ズ	助動詞	文語助動詞-ズ	連用形-補助	ザリ	和
05.02若紫	OH_OO渋谷源氏	3550	3570	I	けむ	けむ	ケム	助動詞	文語助動詞-ケム	連体形-一般	ケム	和
05.02若紫	OH_OO渋谷源氏	3570	3580	I	」	」		補助記号-括弧閉				記号
05.02若紫	OH_OO渋谷源氏	3580	3590	I	と	と	ト	助詞-格助詞			ト	和
05.02若紫	OH_OO渋谷源氏	3590	3600	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	3600	3630	I	つらう	辛い	ツライ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	ツロー	和
05.02若紫	OH_OO渋谷源氏	3630	3650	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
05.02若紫	OH_OO渋谷源氏	3650	3660	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
05.02若紫	OH_OO渋谷源氏	3660	3680	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
05.02若紫	OH_OO渋谷源氏	3680	3700	I	るる	れる	レル	助動詞	文語下二段-ラ行	連体形-一般	ルル	和
05.02若紫	OH_OO渋谷源氏	3700	3710	I	。	。		補助記号-句点				記号
05.02若紫	OH_OO渋谷源氏	3710	3740	B	何ごと	何事	ナニゴト	名詞-普通名詞-一般			ナニゴト	和
05.02若紫	OH_OO渋谷源氏	3740	3750	I	を	を	ヲ	助詞-格助詞			オ	和
05.02若紫	OH_OO渋谷源氏	3750	3760	I	か	か	カ	助詞-係助詞			カ	和
05.02若紫	OH_OO渋谷源氏	3760	3770	I	は	は	ハ	助詞-係助詞			ワ	和
05.02若紫	OH_OO渋谷源氏	3770	3800	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
