22.03玉鬘	OH_OO渋谷源氏	3270	3320	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
22.03玉鬘	OH_OO渋谷源氏	3320	3330	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	3330	3340	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	3340	3370	I	いづち	何方	イズチ	代名詞			イズチ	和
22.03玉鬘	OH_OO渋谷源氏	3370	3380	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	3380	3410	I	いづち	何方	イズチ	代名詞			イズチ	和
22.03玉鬘	OH_OO渋谷源氏	3410	3420	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	3420	3450	I	まかり	罷る	マカル	動詞-一般	文語四段-ラ行	連用形-一般	マカリ	和
22.03玉鬘	OH_OO渋谷源氏	3450	3470	I	失せ	失せる	ウセル	動詞-一般	文語下二段-サ行	連用形-一般	ウセ	和
22.03玉鬘	OH_OO渋谷源氏	3470	3480	I	な	ぬ	ヌ	助動詞	文語助動詞-ヌ	未然形-一般	ナ	和
22.03玉鬘	OH_OO渋谷源氏	3480	3490	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
22.03玉鬘	OH_OO渋谷源氏	3490	3500	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	3500	3510	I	咎	科	トガ	名詞-普通名詞-一般			トガ	和
22.03玉鬘	OH_OO渋谷源氏	3510	3530	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
22.03玉鬘	OH_OO渋谷源氏	3530	3550	I	まじ	まじ	マジ	助動詞	文語助動詞-マジ	終止形-一般	マジ	和
22.03玉鬘	OH_OO渋谷源氏	3550	3560	I	。	。		補助記号-句点				記号
22.03玉鬘	OH_OO渋谷源氏	3560	3570	B	我	我	ワレ	代名詞			ワレ	和
22.03玉鬘	OH_OO渋谷源氏	3570	3580	I	ら	等	ラ	接尾辞-名詞的-一般			ラ	和
22.03玉鬘	OH_OO渋谷源氏	3580	3620	I	いみじき	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連体形-一般	イミジキ	和
22.03玉鬘	OH_OO渋谷源氏	3620	3640	I	勢ひ	勢い	イキオイ	名詞-普通名詞-一般			イキオイ	和
22.03玉鬘	OH_OO渋谷源氏	3640	3650	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	3650	3670	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
22.03玉鬘	OH_OO渋谷源氏	3670	3680	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	3680	3690	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	3690	3700	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	3700	3710	I	若	若	ワカ	名詞-普通名詞-一般			ワカ	和
22.03玉鬘	OH_OO渋谷源氏	3710	3720	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
22.03玉鬘	OH_OO渋谷源氏	3720	3730	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	3730	3750	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
22.03玉鬘	OH_OO渋谷源氏	3750	3770	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
22.03玉鬘	OH_OO渋谷源氏	3770	3780	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	3780	3790	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
22.03玉鬘	OH_OO渋谷源氏	3790	3800	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	3800	3840	I	はふらし	放らす	ハフラス	動詞-一般	文語四段-サ行	連用形-一般	ハフラシ	和
22.03玉鬘	OH_OO渋谷源氏	3840	3890	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
22.03玉鬘	OH_OO渋谷源氏	3890	3900	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	3900	3910	I	は	は	ハ	助詞-係助詞			ワ	和
22.03玉鬘	OH_OO渋谷源氏	3910	3920	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	3920	3950	I	何心地	何心地	ナニゴコチ	名詞-普通名詞-一般			ナニゴコチ	和
22.03玉鬘	OH_OO渋谷源氏	3950	3960	I	か	か	カ	助詞-係助詞			カ	和
22.03玉鬘	OH_OO渋谷源氏	3960	3970	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
22.03玉鬘	OH_OO渋谷源氏	3970	3990	I	まし	まし	マシ	助動詞	文語助動詞-マシ	連体形-一般	マシ	和
22.03玉鬘	OH_OO渋谷源氏	3990	4000	I	」	」		補助記号-括弧閉				記号
22.03玉鬘	OH_OO渋谷源氏	4000	4010	B	と	と	ト	助詞-格助詞			ト	和
22.03玉鬘	OH_OO渋谷源氏	4010	4040	I	語らひ	語らう	カタラウ	動詞-一般	文語四段-ハ行	連用形-一般	カタライ	和
22.03玉鬘	OH_OO渋谷源氏	4040	4060	I	慰め	慰める	ナグサメル	動詞-一般	文語下二段-マ行	連用形-一般	ナグサメ	和
22.03玉鬘	OH_OO渋谷源氏	4060	4070	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	4070	4080	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	4080	4090	B	「	「		補助記号-括弧開				記号
22.03玉鬘	OH_OO渋谷源氏	4090	4110	I	神仏	神仏	カミホトケ	名詞-普通名詞-一般			カミホトケ	和
