16.02関屋	OH_OO渋谷源氏	3530	3550	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
16.02関屋	OH_OO渋谷源氏	3550	3560	I	。	。		補助記号-句点				記号
16.02関屋	OH_OO渋谷源氏	3560	3570	B	「	「		補助記号-括弧開				記号
16.02関屋	OH_OO渋谷源氏	3570	3580	I	一	一	ヒト	名詞-数詞			ヒト	和
16.02関屋	OH_OO渋谷源氏	3580	3590	I	日	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
16.02関屋	OH_OO渋谷源氏	3590	3600	I	は	は	ハ	助詞-係助詞			ワ	和
16.02関屋	OH_OO渋谷源氏	3600	3610	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	3610	3630	I	契り	契り	チギリ	名詞-普通名詞-一般			チギリ	和
16.02関屋	OH_OO渋谷源氏	3630	3650	I	知ら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
16.02関屋	OH_OO渋谷源氏	3650	3660	I	れ	れる	レル	助動詞	文語下二段-ラ行	連用形-一般	レ	和
16.02関屋	OH_OO渋谷源氏	3660	3670	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	3670	3680	I	を	を	ヲ	助詞-格助詞			オ	和
16.02関屋	OH_OO渋谷源氏	3680	3690	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	3690	3700	I	さ	然	サ	副詞			サ	和
16.02関屋	OH_OO渋谷源氏	3700	3710	I	は	は	ハ	助詞-係助詞			ワ	和
16.02関屋	OH_OO渋谷源氏	3710	3730	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
16.02関屋	OH_OO渋谷源氏	3730	3750	I	知り	知る	シル	動詞-一般	文語四段-ラ行	連用形-一般	シリ	和
16.02関屋	OH_OO渋谷源氏	3750	3770	I	けむ	けむ	ケム	助動詞	文語助動詞-ケム	連体形-一般	ケム	和
16.02関屋	OH_OO渋谷源氏	3770	3780	I	や	や	ヤ	助詞-係助詞			ヤ	和
16.02関屋	OH_OO渋谷源氏	3780	3790	I	。	。		補助記号-句点				記号
16.02関屋	OH_OO渋谷源氏	3790	3830	B	わくらば	邂逅	ワクラバ	形状詞-一般			ワクラバ	和
16.02関屋	OH_OO渋谷源氏	3830	3840	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
16.02関屋	OH_OO渋谷源氏	3840	3860	I	行き	行く	イク	動詞-非自立可能	文語四段-カ行	連用形-一般	イキ	和
16.02関屋	OH_OO渋谷源氏	3860	3880	I	逢ふ	会う	アウ	動詞-一般	文語四段-ハ行	連体形-一般	アウ	和
16.02関屋	OH_OO渋谷源氏	3880	3890	I	道	道	ミチ	名詞-普通名詞-一般			ミチ	和
16.02関屋	OH_OO渋谷源氏	3890	3900	I	を	を	ヲ	助詞-格助詞			オ	和
16.02関屋	OH_OO渋谷源氏	3900	3920	I	頼み	頼む	タノム	動詞-一般	文語四段-マ行	連用形-一般	タノミ	和
16.02関屋	OH_OO渋谷源氏	3920	3930	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	3930	3940	I	も	も	モ	助詞-係助詞			モ	和
16.02関屋	OH_OO渋谷源氏	3940	3960	I	なほ	猶	ナオ	副詞			ナオ	和
