34.01若菜上	OH_OO渋谷源氏	3630	3640	I	御	御	オオン	接頭辞			オオン	和
34.01若菜上	OH_OO渋谷源氏	3640	3680	I	交じらひ	交じらい	マジライ	名詞-普通名詞-一般			マジライ	和
34.01若菜上	OH_OO渋谷源氏	3680	3690	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	3690	3710	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
34.01若菜上	OH_OO渋谷源氏	3710	3720	I	も	も	モ	助詞-係助詞			モ	和
34.01若菜上	OH_OO渋谷源氏	3720	3740	I	心細	心細い	ココロボソイ	形容詞-一般	文語形容詞-ク	語幹-一般	ココロボソ	和
34.01若菜上	OH_OO渋谷源氏	3740	3750	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
34.01若菜上	OH_OO渋谷源氏	3750	3760	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.01若菜上	OH_OO渋谷源氏	3760	3770	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	3770	3780	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	3780	3800	I	大后	大后	オオキサキ	名詞-普通名詞-一般			オーキサキ	和
34.01若菜上	OH_OO渋谷源氏	3800	3810	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	3810	3820	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	3820	3840	I	尚侍	尚侍	ナイシノカミ	名詞-普通名詞-一般			ナイシノカミ	混
34.01若菜上	OH_OO渋谷源氏	3840	3850	I	を	を	ヲ	助詞-格助詞			オ	和
34.01若菜上	OH_OO渋谷源氏	3850	3870	I	参ら	参る	マイル	動詞-非自立可能	文語四段-ラ行	未然形-一般	マイラ	和
34.01若菜上	OH_OO渋谷源氏	3870	3880	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
34.01若菜上	OH_OO渋谷源氏	3880	3930	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
34.01若菜上	OH_OO渋谷源氏	3930	3960	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.01若菜上	OH_OO渋谷源氏	3960	3970	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	3970	3980	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	3980	4020	I	かたはら	傍ら	カタワラ	名詞-普通名詞-副詞可能			カタワラ	和
34.01若菜上	OH_OO渋谷源氏	4020	4030	I	に	に	ニ	助詞-格助詞			ニ	和
34.01若菜上	OH_OO渋谷源氏	4030	4050	I	並ぶ	並ぶ	ナラブ	動詞-一般	文語四段-バ行	連体形-一般	ナラブ	和
34.01若菜上	OH_OO渋谷源氏	4050	4060	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
34.01若菜上	OH_OO渋谷源氏	4060	4080	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
34.01若菜上	OH_OO渋谷源氏	4080	4100	I	もて	以て	モテ	接頭辞			モテ	和
34.01若菜上	OH_OO渋谷源氏	4100	4120	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
34.01若菜上	OH_OO渋谷源氏	4120	4150	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.01若菜上	OH_OO渋谷源氏	4150	4180	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.01若菜上	OH_OO渋谷源氏	4180	4200	I	など	など	ナド	助詞-副助詞			ナド	和
34.01若菜上	OH_OO渋谷源氏	4200	4210	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
34.01若菜上	OH_OO渋谷源氏	4210	4220	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
34.01若菜上	OH_OO渋谷源氏	4220	4240	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
34.01若菜上	OH_OO渋谷源氏	4240	4250	I	に	に	ニ	助詞-格助詞			ニ	和
34.01若菜上	OH_OO渋谷源氏	4250	4260	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	4260	4300	I	気圧され	気圧される	ケオサレル	動詞-一般	文語下二段-ラ行	連用形-一般	ケオサレ	和
34.01若菜上	OH_OO渋谷源氏	4300	4310	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	4310	4320	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	4320	4330	I	帝	帝	ミカド	名詞-普通名詞-一般			ミカド	和
34.01若菜上	OH_OO渋谷源氏	4330	4340	I	も	も	モ	助詞-係助詞			モ	和
34.01若菜上	OH_OO渋谷源氏	4340	4350	I	御	御	ミ	接頭辞			ミ	和
34.01若菜上	OH_OO渋谷源氏	4350	4360	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
34.01若菜上	OH_OO渋谷源氏	4360	4370	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	4370	4390	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
34.01若菜上	OH_OO渋谷源氏	4390	4400	I	に	に	ニ	助詞-格助詞			ニ	和
